did,C13p,C9p,yes_2012,yes_2014
311,47,53,76.6,98.3
264,49.7,50.3,63.9,96.1
256,61.5,38.5,78.1,96.8
248,80.1,19.9,91.7,96.2
231,63.4,36.6,87.3,96.4
221,49.4,50.6,62.6,97.3
213,51.9,48.1,76.7,97.8
205,55.6,44.4,84.5,97.6
191,58.2,41.8,78.7,97.2
183,61.5,38.5,76.1,96.1
175,64.4,35.6,83,96.6
167,77.8,22.2,89.5,96.7
159,66.5,33.5,84.8,96.6
141,59.7,40.3,66.7,98.0
132,54.3,45.7,70,98.0
124,58.6,41.4,75.5,97.9
116,28.5,71.5,48.9,98.7
108,37,63,47.8,98.7
94,55.4,44.6,65.8,98.6
86,41.7,58.3,60,98.4
78,45.7,54.3,65.8,98.4
61,44.4,55.6,54.9,98.7
51,56,44,64.4,98.4
43,62.7,37.3,70.4,97.8
35,45.8,54.2,51.1,98.5
27,57.5,42.5,55.6,98.4
19,44.3,55.7,43.2,98.5
1,74.9,25.1,65.8,98.1
0,52,48,63.8,98.1
