did,C4,C5,C9,C10,C13,c4pct,c5pct,c9pct,c10pct,c13pct,c4t,c5t,c9t,c10t,c13t,Valid
311,34843,38627,47432,32771,44731,17,18.9,23.2,16,21.9,17,18.9,23.2,16,21.9,204603
264,6911,4298,4067,3648,4894,28.1,17.5,16.5,14.8,19.9,28.1,17.5,16.5,14.8,19.9,24609
256,20937,15830,8470,7616,32431,23.9,18.1,9.7,8.7,37.1,23.9,18.1,9.7,8.7,37.1,87505
248,6849,33531,5419,4991,13050,10.6,51.7,8.3,7.7,20.1,10.6,51.7,8.3,7.7,20.1,64900
231,9406,13338,6448,7607,15571,17.4,24.6,11.9,14,28.7,17.4,24.6,11.9,14,28.7,54207
221,18651,16328,18042,22384,15593,20,17.5,19.4,24,16.7,20,17.5,19.4,24,16.7,93110
213,59790,44801,45824,41686,60495,22.9,17.1,17.5,15.9,23.1,22.9,17.1,17.5,15.9,23.1,261523
205,74929,78779,83858,42277,97268,19.3,20.3,21.6,10.9,25.1,19.3,20.3,21.6,10.9,25.1,387625
191,100035,136175,177418,47363,202554,14.7,20,26,7,29.7,14.7,20,26,7,29.7,681100
183,55887,136006,193503,65017,210445,8.2,20,28.5,9.6,31,8.2,20,28.5,9.6,31,679877
175,56573,150509,265779,64437,407955,5.9,15.6,27.5,6.7,42.2,5.9,15.6,27.5,6.7,42.2,966124
167,32558,168601,75084,37882,289485,5.3,27.4,12.2,6.2,47,5.3,27.4,12.2,6.2,47,615710
159,57661,122016,119768,48493,260303,9.3,19.6,19.2,7.8,41.8,9.3,19.6,19.2,7.8,41.8,623276
141,236106,423097,372895,474011,599858,11,19.6,17.3,22,27.8,11,19.6,17.3,22,27.8,2154083
132,65988,59697,52377,71679,92633,18.8,17,14.9,20.5,26.4,18.8,17,14.9,20.5,26.4,350386
124,243364,334480,171693,196523,392675,17.8,24.5,12.6,14.4,28.7,17.8,24.5,12.6,14.4,28.7,1366191
116,36015,147587,603815,109060,208105,3.2,13.1,53.5,9.7,18.4,3.2,13.1,53.5,9.7,18.4,1128816
108,150445,220459,459437,313252,248681,10.5,15.5,32.2,22,17.4,10.5,15.5,32.2,22,17.4,1426115
94,22906,67164,63395,486662,133932,2.9,8.6,8.1,62.1,17.1,2.9,8.6,8.1,62.1,17.1,783316
86,155452,170659,395553,272662,302352,11.7,12.9,29.9,20.6,22.8,11.7,12.9,29.9,20.6,22.8,1324736
78,69725,220950,627819,211046,536655,4.1,13,37,12.4,31.6,4.1,13,37,12.4,31.6,1695748
61,199287,247626,418895,393741,388586,11.8,14.7,24.9,23.4,23.1,11.8,14.7,24.9,23.4,23.1,1685228
51,66397,107816,54937,106905,106422,14.7,23.9,12.2,23.7,23.6,14.7,23.9,12.2,23.7,23.6,450192
43,43471,41794,21817,45534,49724,20.9,20.1,10.5,21.9,23.9,20.9,20.1,10.5,21.9,23.9,207739
35,37274,32537,40948,104929,38982,14.4,12.6,15.8,40.5,15,14.4,12.6,15.8,40.5,15,259235
27,292648,388051,212257,571772,299455,16.2,21.4,11.7,31.6,16.6,16.2,21.4,11.7,31.6,16.6,1809096
19,393097,561027,933835,988638,604193,11,15.7,26.2,27.7,16.9,11,15.7,26.2,27.7,16.9,3568591
