did,C14p,C10p,voters,workers,regturnout,totalturnout,Percentage,Invalid,Valid,C14,C10
19,96.57,3.43,6771437,10130,3477093,3487223,51.5,165747,3321476,3207415,114061
27,96.61,3.39,3467139,4539,1736031,1740570,50.2,80691,1659879,1603621,56258
35,97.11,2.89,458481,715,280735,281450,61.39,16242,265208,257554,7654
43,96.07,3.93,401870,587,186208,186795,46.48,13391,173404,166582,6822
51,97.39,2.61,905598,1283,486339,487622,53.85,18547,469075,456826,12249
61,97.87,2.13,3860885,7279,2137729,2145008,55.56,61211,2083797,2039466,44331
78,97.83,2.17,3742698,5330,2009343,2014673,53.83,66868,1947805,1905548,42257
86,97.62,2.38,2755292,3439,1518240,1521679,55.23,55873,1465806,1430945,34861
94,94.03,5.97,1966734,2926,928108,931034,47.34,25235,905799,851752,54047
108,97.94,2.06,3063129,4362,1815594,1819956,59.41,54329,1765627,1729266,36361
116,98.62,1.38,2329542,3567,1454769,1458336,62.6,38546,1419790,1400182,19608
124,97.42,2.58,3418117,4481,1561790,1566271,45.82,60172,1506099,1467212,38887
132,96.79,3.21,747070,1221,376120,377341,50.51,19184,358157,346652,11505
141,96.21,3.79,4606441,6118,1948629,1954747,42.44,96732,1858015,1787621,70394
159,96.15,3.85,1531473,2586,609214,611800,39.95,33340,578460,556196,22264
167,96.05,3.95,1656066,3010,501486,504496,30.46,28522,475974,457188,18786
175,95.84,4.16,2850857,3414,1005806,1009220,35.4,60785,948435,908994,39441
183,95.28,4.72,2256304,2958,743865,746823,33.1,41889,704934,671690,33244
191,96.41,3.59,2534912,4502,876370,880872,34.75,37861,843011,812781,30230
205,97.15,2.85,1700686,2202,571806,574008,33.75,20299,553709,537905,15804
213,97.12,2.88,899358,1123,322175,323298,35.95,10691,312607,303618,8989
221,95.81,4.19,264930,773,109391,110164,41.58,4673,105491,101070,4421
231,95.59,4.41,149843,268,65163,65431,43.67,3728,61703,58984,2719
248,94.89,5.11,230349,577,61591,62168,26.99,5431,56737,53837,2900
256,95.43,4.57,226355,380,78052,78432,34.65,5603,72829,69502,3327
264,94.34,5.66,85335,178,38618,38796,45.46,2572,36224,34173,2051
311,97.5,2.5,710372,938,281039,281977,39.69,8248,273729,266896,6833
1,94.52,5.48,0,0,318033,318033,0,4198,313835,296628,17207
0,96.91,3.09,53591273,78886,25499337,25578223,47.45,1040608,24537615,23780104,757511
