district_name,C14p,C04p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
امبابه,96.77,3.23,505595,632,249928,250560,49.56,12044,238516,230823,7693
العجوزه,95.90,4.10,223321,322,117529,117851,52.77,5510,112341,107732,4609
الدقى,95.69,4.31,120608,203,64478,64681,53.63,2982,61699,59037,2662
الجيزه,96.67,3.33,248459,446,120887,121333,48.83,5655,115678,111821,3857
بولاق الدكرور,96.29,3.71,444679,597,206977,207574,46.68,10117,197457,190128,7329
الهرم,96.01,3.99,327155,453,151216,151669,46.36,7476,144193,138438,5755
الحوامديه,95.95,4.05,103657,117,39880,39997,38.59,2107,37890,36354,1536
مركز البدرشين,96.33,3.67,255748,291,84892,85183,33.31,4448,80735,77776,2959
مركز الصف,96.83,3.17,192906,247,74641,74888,38.82,3604,71284,69023,2261
مركز العياط,96.48,3.52,233032,283,90153,90436,38.81,4701,85735,82717,3018
الواحات البحريه,95.31,4.69,23018,40,5426,5466,23.75,286,5180,4937,243
مركز اطفيح,95.65,4.35,162906,218,39920,40138,24.64,2017,38121,36463,1658
مركز اوسيم,96.03,3.97,179887,214,63498,63712,35.42,3290,60422,58021,2401
العمرانيه,96.04,3.96,241559,336,120705,121041,50.11,5691,115350,110782,4568
الوراق,96.66,3.34,283056,346,130370,130716,46.18,5928,124788,120624,4164
الشيخ زايد,94.02,5.98,28710,58,15172,15230,53.05,1021,14209,13359,850
مركز كرداسه,96.01,3.99,243823,300,69459,69759,28.61,3878,65881,63254,2627
6 اكتوبر اول,93.37,6.63,57025,93,26622,26715,46.85,1788,24927,23274,1653
6 اكتوبر ثان,94.75,5.25,104053,142,44281,44423,42.69,2908,41515,39336,2179
مركزابوالنمرس,96.44,3.56,166657,192,64020,64212,38.53,3039,61173,58998,2175
الطالبيه,95.82,4.18,208479,286,95510,95796,45.95,4972,90824,87032,3792
منشاه القناطر,96.57,3.43,252108,302,73065,73367,29.10,3270,70097,67692,2405
