district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Shubra,شبرا,22,78,92263,53157,1347,59.1,41475,11682
Al Sahel,الساحل,34.2,65.8,349271,189056,12380,57.7,124354,64702
Rod El Farag,روض الفرج,31,69,185635,99926,4122,56,68906,31020
Zeitoun,الزيتون,40.9,59.1,184472,103226,4577,58.4,60976,42250
Amirya,الاميريه,49.9,50.1,142681,78190,3343,57.1,39204,38986
El-Quba,حدائق القبه,43.6,56.4,297923,153547,6596,53.8,86621,66926
El Sharabiya,الشرابيه,42.3,57.7,213844,112361,4109,54.5,64838,47523
Elzawia El Hamra,الزاويه الحمراء,43.8,56.2,239453,129734,4615,56.1,72878,56856
Saida Zineb,السيده زينب,36.4,63.6,159475,79216,4397,52.4,50364,28852
El Khalifa,الخليفه,38.6,61.4,128582,61016,3172,49.9,37469,23547
Almokattam,المقطم,48.5,51.5,65576,35649,1936,57.3,18346,17303
AL Bassateen,البساتين,53.5,46.5,259612,117812,5100,47.3,54778,63034
Misr El Kadima,مصر القديمه,43.5,56.5,226505,106703,8690,50.9,60243,46460
Misr El Gedia,مصر الجديده,32.4,67.6,166486,92057,4914,58.2,62229,29828
Madinat Nasr 1,مدينه نصراول,46.8,53.2,362186,208014,12604,60.9,110645,97369
Madinat Nasr 2,مدينه نصر ثان,47.3,52.7,52901,30055,1645,59.9,15826,14229
Al Matrya ,المطريه,49.4,50.6,457157,238224,7856,53.8,120598,117626
Ain Shams,عين شمس,46.7,53.3,365270,187891,7098,53.4,100107,87784
Al Salam district 1,اول السلام,46.8,53.2,192654,94505,3760,51,50248,44257
Al Salam district 2,ثان السلام,43.1,56.9,63799,29649,1098,48.2,16882,12767
El Marg,المرج,49.9,50.1,284907,152424,4513,55.1,76440,75984
El Nozha,النزهه,35,65,181521,107139,6255,62.5,69661,37478
Al Zaher,الظاهر,31.6,68.4,78251,44373,2305,59.7,30333,14040
Al Waili,الوايلى,37.2,62.8,98104,49605,2963,53.6,31167,18438
Manshiyat Naser,منشيه ناصر,43.8,56.2,88360,38101,1368,44.7,21416,16685
El Gamaliya ,الجماليه,35.9,64.1,103452,46607,1901,46.9,29893,16714
Al Darb al—Ahmar,الدرب الاحمر,35.3,64.7,86932,42747,2278,51.8,27642,15105
Boulaq,بولاق,38,62,89711,41963,1762,48.7,26027,15936
Qasr al-Nil,قصر النيل,24.7,75.3,32440,16927,1199,55.9,12746,4181
Abdeen,عابدين,34.4,65.6,57731,29444,1825,54.2,19312,10132
El Azbakia,الازبكيه,26.6,73.4,34943,18700,678,55.5,13731,4969
Bab el-Shaariya,باب الشعريه,36.1,63.9,66053,33376,1492,52.8,21342,12034
El Mosky,الموسكى,37.2,62.8,35203,16951,676,50.1,10653,6298
Dar Es Salam,دار السلام,52.3,47.7,189171,92288,3783,50.8,44033,48255
El Maadi,المعادى,48.4,51.6,179556,97832,5632,57.6,50495,47337
Al Tibbeen,التبين,66.3,33.7,78511,39770,1506,52.6,13411,26359
15th of May District,خمسه عشر مايو,59.5,40.5,70142,43860,2160,65.6,17745,26115
Helwan,حلوان,58.5,41.5,439638,233836,10402,55.6,97031,136805
New Cairo 1,اول القاهره الجديده,56.2,43.8,32928,20254,1039,64.7,8869,11385
New Cairo 2,ثان القاهره الجديده,49.3,50.7,16386,10058,523,64.6,5103,4955
New Cairo 3,ثالث القاهره الجديد,56.9,43.1,21527,12581,582,61.1,5423,7158
Shrooq,الشروق,55.2,44.8,11794,7171,360,63.9,3215,3956
Madinat Badr,مدينه بدر,57.2,42.8,5558,3115,126,58.3,1332,1783
