district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Imbaba,إمبابة,52.9,47.1,502858,143725,2256,29,75984,67741
El Aguza,العجوزة,37.3,62.7,222615,85701,1034,39,32003,53698
El Dokki,الدقي,29.2,70.8,117892,50481,510,43.3,14748,35733
Giza,الجيزة,54.4,45.6,248286,76286,1281,31.2,41476,34810
Boulaq el Dakur,بولاق الدكرور,57.5,42.5,485077,141079,2392,29.6,81072,60007
El Hram,الهرم,54.7,45.3,305420,102576,1339,34,56070,46506
El Hawamdya,الحوامدية,80.1,19.9,100617,35849,547,36.2,28724,7125
Badrasheen district,مركز البدرشين,87.8,12.2,241655,86627,1354,36.4,76091,10536
AL Saff district,مركز الصف,84.5,15.5,184044,67961,1401,37.7,57433,10528
El Ayat district,مركز العياط,86.1,13.9,218866,79296,2030,37.2,68296,11000
Bahariya Oasis,الواحات البحرية,95.2,4.8,22151,7411,161,34.2,7057,354
Etfeeh district,مركز أطفيح,93.6,6.4,155181,58991,1119,38.7,55206,3785
Awseem district,مركز أوسيم,81.4,18.6,177961,63978,1261,36.7,52069,11909
El Omraniya ,العمرانية,47.9,52.1,207316,70472,1079,34.5,33725,36747
al warraq,الوراق,66,34,264264,75301,1291,29,49700,25601
Sheikh Zayed,الشيخ زايد,40.7,59.3,27135,3586,25,13.3,1459,2127
Kirdassa district,مركز كرداسة,88.9,11.1,215299,88723,1318,41.8,78832,9891
6th of October 1,6 أكتوبر أول,47.9,52.1,48834,22980,207,47.5,10996,11984
6th of October 2,6 أكتوبر ثان,63.2,36.8,81614,35467,365,43.9,22429,13038
Abu el-Nomros district,مركز أبوالنمرس,82.2,17.8,154590,55212,1047,36.4,45366,9846
Al Talibiya,الطالبية,55,45,165720,54938,754,33.6,30214,24724
Munsha'at Al-Qanatir,منشأة القناطر,88.5,11.5,236306,86452,1334,37.1,76467,9985
Total,الإجمالي,66.7,33.3,4383701,1493092,24105,34.6,995417,497675
