did,Voters,Wafidin,Workers,Present,Total_voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
19,"6,674,865","98,706","3,784","2,688,743","2,791,233","2,762,952","28,281",40.30%,"2,720,162","42,790",98.50%,1.50%
27,"3,415,629","38,243","6,418","1,308,971","1,353,632","1,340,449","13,183",38.30%,"1,319,454","20,995",98.40%,1.60%
141,"4,518,941","52,947","4,274","1,450,195","1,507,416","1,488,662","18,754",32.10%,"1,459,201","29,461",98.00%,2.00%
86,"2,718,798","22,808","3,253","1,204,971","1,231,032","1,217,220","13,812",44.30%,"1,198,011","19,209",98.40%,1.60%
108,"3,020,674","7,442","4,881","1,574,173","1,586,496","1,572,176","14,320",52.10%,"1,551,093","21,083",98.70%,1.30%
78,"3,681,587","20,664","4,203","1,666,493","1,691,360","1,673,968","17,392",45.30%,"1,646,736","27,232",98.40%,1.60%
116,"2,298,208","12,884","3,181","1,226,154","1,242,219","1,228,811","13,408",53.40%,"1,212,268","16,543",98.70%,1.30%
61,"3,793,080","8,353","6,363","1,876,901","1,891,617","1,874,597","17,020",49.50%,"1,850,535","24,062",98.70%,1.30%
124,"3,376,941","11,231","5,125","1,260,624","1,276,980","1,260,503","16,477",37.30%,"1,234,019","26,484",97.90%,2.10%
94,"1,935,985","2,928","2,684","817,904","823,516","815,038","8,478",42.20%,"803,940","11,098",98.60%,1.40%
51,"891,241","6,155","1,053","408,617","415,825","411,233","4,592",45.80%,"404,687","6,546",98.40%,1.60%
35,"453,377","7,474",859,"231,439","239,772","237,188","2,584",51.00%,"233,672","3,516",98.50%,1.50%
132,"735,103","7,676","1,241","290,689","299,606","295,671","3,935",39.50%,"289,863","5,808",98.00%,2.00%
43,"396,466","7,457",804,"136,658","144,919","143,284","1,635",34.50%,"140,167","3,117",97.80%,2.20%
159,"1,506,498","3,894","1,608","490,670","496,172","486,360","9,812",32.60%,"469,974","16,386",96.60%,3.40%
167,"1,628,192","3,377","2,631","385,601","391,609","383,384","8,225",23.70%,"370,802","12,582",96.70%,3.30%
175,"2,808,534","3,188","2,533","734,512","740,233","723,193","17,040",26.20%,"698,621","24,572",96.60%,3.40%
183,"2,219,387","5,096","3,570","538,873","547,539","536,532","11,007",24.30%,"515,571","20,961",96.10%,3.90%
191,"2,485,950","3,108","5,004","592,391","600,503","591,496","9,007",23.80%,"574,797","16,699",97.20%,2.80%
213,"891,699","4,407","1,568","251,588","257,563","254,088","3,475",28.20%,"248,571","5,517",97.80%,2.20%
205,"1,676,423","7,328","2,774","400,668","410,770","405,064","5,706",23.90%,"395,439","9,625",97.60%,2.40%
221,"244,603","30,188",278,"77,681","108,147","106,758","1,389",31.80%,"103,858","2,900",97.30%,2.70%
231,"147,525",668,286,"51,923","52,877","51,769","1,108",35.20%,"49,920","1,849",96.40%,3.60%
311,"703,670","3,672","1,266","215,668","220,606","218,203","2,403",30.60%,"214,510","3,693",98.30%,1.70%
256,"223,533","6,436",315,"69,217","75,968","74,557","1,411",31.00%,"72,161","2,396",96.80%,3.20%
264,"70,845","40,467",30,"23,804","64,301","63,123","1,178",33.60%,"60,651","2,472",96.10%,3.90%
248,"224,385","7,586",694,"36,445","44,725","43,910",815,16.20%,"42,242","1,668",96.20%,3.80%
1,"681,346",0,0,"107,041","107,041","106,541",500,15.70%,"104,464","2,077",98.10%,1.90%
0,"53,423,485","424,383","70,680","20,118,614","20,613,677","20,366,730","246,947",38.60%,"19,985,389","381,341",98.10%,1.90%
